0 70 48 
0 70 64 
0 70 3 
0 70 86 
0 70 8 
0 70 25 
0 70 59 
0 70 60 
0 70 13 
0 70 30 
0 70 47 
0 16 1 
0 16 2 
0 16 3 
0 16 6 
0 16 8 
0 16 11 
0 16 76 
0 16 78 
0 16 81 
0 16 84 
0 16 21 
0 16 85 
0 16 86 
0 16 88 
0 16 90 
0 16 91 
0 16 93 
0 16 33 
0 16 99 
0 16 45 
0 16 48 
0 16 52 
0 16 54 
0 16 56 
0 16 58 
0 16 63 
0 56 33 
0 56 2 
0 56 34 
0 56 35 
0 56 15 
0 56 16 
0 56 48 
0 56 19 
0 56 52 
0 56 21 
0 56 85 
0 56 55 
0 56 88 
0 56 93 
0 56 31 
0 24 0 
0 24 2 
0 24 18 
0 24 99 
0 24 52 
0 24 20 
0 24 88 
0 24 74 
0 68 98 
0 68 34 
0 68 6 
0 68 7 
0 68 87 
0 68 74 
0 68 91 
0 68 92 
0 68 31 
0 3 67 
0 3 5 
0 3 6 
0 3 70 
0 3 72 
0 3 9 
0 3 11 
0 3 15 
0 3 16 
0 3 18 
0 3 20 
0 3 86 
0 3 23 
0 3 25 
0 3 27 
0 3 28 
0 3 92 
0 3 29 
0 3 34 
0 3 98 
0 3 39 
0 3 43 
0 3 49 
0 3 51 
0 3 62 
0 3 63 
